383,886,508,984
649,421,688,474
540,426,625,516
22,58,104,89
229,373,261,508
315,370,344,449
862,170,1032,271
336,505,372,543
582,545,601,602
87,808,199,1000
754,399,860,474
226,586,282,728
709,927,839,1098
306,683,326,731
503,19,549,53
796,723,817,778
34,764,183,792
275,407,300,518
235,793,272,826
904,818,937,952
311,810,323,943
282,258,347,286
899,996,1078,1071
926,466,970,522
936,107,986,128
348,172,375,191
206,301,277,359
127,150,315,165
396,81,422,267
621,567,674,606
528,189,552,263
567,746,624,817
249,990,287,1059
686,125,737,251
436,460,459,551
39,2,72,45
541,569,580,580
189,274,205,305
338,566,408,607
25,388,109,434
231,21,298,54
81,516,96,668
977,685,1069,793
805,882,846,919
126,593,196,626
963,55,1021,103
633,685,711,737
868,503,909,568
379,321,405,380
232,204,279,236
426,67,536,92
57,708,113,758
563,860,621,957
990,583,1016,620
693,334,728,363
859,828,884,871
970,352,1035,415
32,154,66,182
42,624,73,681
981,475,1029,536
938,557,988,572
569,232,673,278
734,819,846,855
487,802,517,817
123,437,168,491
437,263,524,293
128,257,161,288
495,540,520,597
302,625,363,645
930,626,963,716
397,416,413,502
62,303,122,386
290,950,335,1037
951,873,968,911
169,170,215,220
883,616,905,718
4,833,53,862
569,128,683,189
707,743,728,786
71,209,125,229
718,259,737,296
129,328,160,370
784,42,837,201
838,42,854,110
658,14,681,47
462,386,502,402
10,111,64,147
167,534,186,582
120,690,138,739
341,53,360,128
718,55,764,80
744,187,770,317
478,304,551,358
567,330,584,420
723,509,804,612
218,845,255,940
345,736,370,771
287,658,300,774
400,625,447,660
443,553,459,615
450,627,582,672
