591,765,2,2
914,854,69,69
765,765,122,187
765,765,122,69
209,209,167,170
793,770,247,247
37,37,268,278
21,37,278,278
41,37,293,293
41,68,293,293
68,68,299,293
626,626,331,344
626,626,331,330
464,478,344,344
888,888,353,344
653,653,475,567
653,653,475,474
108,108,520,708
108,108,520,434
931,931,562,573
469,469,569,581
911,931,573,573
911,838,573,573
838,838,581,573
838,804,581,581
686,686,669,612
975,963,682,682
441,441,701,757
441,441,701,660
226,226,749,757
226,113,749,749
322,300,757,757
322,345,757,757
443,466,764,764
443,443,764,757
379,379,779,771
986,968,842,842
466,466,879,764
200,218,909,909
236,236,965,940
960,960,989,911
37,37,278,268
37,21,278,278
37,37,278,293
68,68,293,299
68,108,293,293
68,41,293,293
108,68,293,293
108,122,293,293
226,226,757,774
226,226,757,749
765,765,69,122
765,765,69,42
765,888,344,344
765,765,344,334
653,693,344,344
653,649,344,344
626,626,344,331
626,649,344,344
686,674,581,581
686,686,581,612
469,469,581,569
469,459,581,581
469,495,581,581
441,379,757,757
441,443,757,757
441,441,757,701
379,441,757,757
379,379,757,771
931,931,573,562
931,931,573,626
931,911,573,573
960,968,842,842
960,960,842,716
888,888,344,353
888,765,344,344
466,466,764,879
466,443,764,764
37,37,293,278
37,41,293,293
443,441,757,757
443,443,757,764
838,911,573,573
838,838,573,581
653,674,567,567
653,621,567,567
653,653,567,475
674,686,581,581
674,674,581,567
674,674,567,581
674,653,567,567
621,653,567,567
621,621,567,602
108,113,708,708
108,108,708,520
113,113,749,708
113,226,749,749
113,113,708,749
113,108,708,708
931,931,626,573
931,963,626,626
963,975,682,682
963,963,682,626
963,963,682,716
963,963,626,682
963,931,626,626
960,963,716,716
960,960,716,842
963,960,716,716
963,963,716,682
765,770,187,187
765,765,187,122
770,793,247,247
770,770,247,187
770,770,247,317
770,770,187,247
770,765,187,187
765,770,317,317
765,765,317,334
770,765,317,317
770,770,317,247
226,218,845,845
226,226,845,774
218,200,909,909
218,218,909,845
218,218,909,940
218,218,845,909
218,226,845,845
236,236,940,965
236,218,940,940
218,236,940,940
218,218,940,909
854,914,69,69
854,854,69,42
854,854,42,69
854,765,42,42
765,854,42,42
765,765,42,69
765,765,42,2
189,189,293,274
189,122,293,293
189,189,274,293
189,215,274,274
209,209,170,167
209,215,170,170
215,209,170,170
215,215,170,274
215,189,274,274
215,215,274,170
478,464,344,344
478,478,344,358
478,478,358,344
478,567,358,358
567,478,358,358
567,567,358,330
567,567,330,358
567,626,330,330
626,626,330,331
626,567,330,330
960,960,911,989
960,968,911,911
968,960,911,911
968,968,911,842
968,986,842,842
968,960,842,842
968,968,842,911
108,109,434,434
108,108,434,520
109,108,434,434
109,109,434,386
109,109,386,434
109,122,386,386
122,109,386,386
122,122,386,293
122,189,293,293
122,108,293,293
122,122,293,386
300,300,757,774
300,322,757,757
300,300,774,757
300,226,774,774
226,226,774,845
226,226,774,757
226,300,774,774
765,591,2,2
765,765,2,42
693,653,344,344
693,693,344,334
693,693,334,344
693,765,334,334
765,765,334,317
765,765,334,344
765,693,334,334
653,649,474,474
653,653,474,475
649,653,474,474
649,649,474,344
649,626,344,344
649,653,344,344
649,649,344,474
804,804,581,612
804,838,581,581
804,804,612,581
804,686,612,612
686,686,612,669
686,686,612,581
686,804,612,612
459,469,581,581
459,459,581,615
459,459,615,581
459,447,615,615
495,469,581,581
495,495,581,597
495,495,597,581
495,582,597,597
582,495,597,597
582,582,597,602
582,582,602,597
582,621,602,602
621,621,602,567
621,582,602,602
441,447,660,660
441,441,660,701
447,441,660,660
447,447,660,615
447,459,615,615
447,447,615,660
345,345,757,771
345,322,757,757
345,345,771,757
345,379,771,771
379,379,771,779
379,379,771,757
379,345,771,771
